forward 2 | Horizontal: 2, Depth: 0 (0)
down 3    | Horizontal: 241, Depth: 136 (32776)
forward 8 | Horizontal: 249, Depth: 136 (33864)
forward 3 | Horizontal: 252, Depth: 136 (34272)
forward 9 | Horizontal: 261, Depth: 136 (35496)
down 5    | Horizontal: 261, Depth: 141 (36801)
up 1      | Horizontal: 261, Depth: 140 (36540)
up 2      | Horizontal: 261, Depth: 138 (36018)
down 9    | Horizontal: 261, Depth: 147 (38367)
up 9      | Horizontal: 261, Depth: 138 (36018)
down 5    | Horizontal: 261, Depth: 143 (37323)
down 9    | Horizontal: 261, Depth: 152 (39672)
forward 1 | Horizontal: 262, Depth: 152 (39824)
down 3    | Horizontal: 262, Depth: 155 (40610)
down 5    | Horizontal: 262, Depth: 160 (41920)
down 1    | Horizontal: 262, Depth: 161 (42182)
forward 7 | Horizontal: 269, Depth: 161 (43309)
down 6    | Horizontal: 269, Depth: 167 (44923)
forward 7 | Horizontal: 276, Depth: 167 (46092)
forward 4 | Horizontal: 280, Depth: 167 (46760)
up 2      | Horizontal: 280, Depth: 165 (46200)
up 1      | Horizontal: 280, Depth: 164 (45920)
forward 9 | Horizontal: 289, Depth: 164 (47396)
down 2    | Horizontal: 289, Depth: 166 (47974)
down 6    | Horizontal: 289, Depth: 172 (49708)
down 5    | Horizontal: 289, Depth: 177 (51153)
down 6    | Horizontal: 289, Depth: 183 (52887)
forward 8 | Horizontal: 297, Depth: 183 (54351)
down 5    | Horizontal: 297, Depth: 188 (55836)
forward 1 | Horizontal: 298, Depth: 188 (56024)
forward 2 | Horizontal: 300, Depth: 188 (56400)
down 7    | Horizontal: 300, Depth: 195 (58500)
down 5    | Horizontal: 300, Depth: 200 (60000)
down 7    | Horizontal: 300, Depth: 207 (62100)
up 9      | Horizontal: 300, Depth: 198 (59400)
down 9    | Horizontal: 300, Depth: 207 (62100)
up 4      | Horizontal: 300, Depth: 203 (60900)
down 7    | Horizontal: 300, Depth: 210 (63000)
up 8      | Horizontal: 300, Depth: 202 (60600)
down 9    | Horizontal: 300, Depth: 211 (63300)
forward 3 | Horizontal: 303, Depth: 211 (63933)
down 6    | Horizontal: 303, Depth: 217 (65751)
down 2    | Horizontal: 303, Depth: 219 (66357)
forward 9 | Horizontal: 312, Depth: 219 (68328)
down 4    | Horizontal: 312, Depth: 223 (69576)
up 7      | Horizontal: 312, Depth: 216 (67392)
forward 3 | Horizontal: 315, Depth: 216 (68040)
down 5    | Horizontal: 315, Depth: 221 (69615)
forward 8 | Horizontal: 323, Depth: 221 (71383)
forward 9 | Horizontal: 332, Depth: 221 (73372)
down 2    | Horizontal: 332, Depth: 223 (74036)
up 5      | Horizontal: 332, Depth: 218 (72376)
forward 2 | Horizontal: 334, Depth: 218 (72812)
forward 9 | Horizontal: 343, Depth: 218 (74774)
up 5      | Horizontal: 343, Depth: 213 (73059)
down 2    | Horizontal: 343, Depth: 215 (73745)
forward 8 | Horizontal: 351, Depth: 215 (75465)
forward 6 | Horizontal: 357, Depth: 215 (76755)
down 7    | Horizontal: 357, Depth: 222 (79254)
down 3    | Horizontal: 357, Depth: 225 (80325)
forward 4 | Horizontal: 361, Depth: 225 (81225)
forward 3 | Horizontal: 364, Depth: 225 (81900)
forward 9 | Horizontal: 373, Depth: 225 (83925)
up 4      | Horizontal: 373, Depth: 221 (82433)
up 4      | Horizontal: 373, Depth: 217 (80941)
forward 7 | Horizontal: 380, Depth: 217 (82460)
up 3      | Horizontal: 380, Depth: 214 (81320)
forward 6 | Horizontal: 386, Depth: 214 (82604)
down 7    | Horizontal: 386, Depth: 221 (85306)
up 8      | Horizontal: 386, Depth: 213 (82218)
forward 2 | Horizontal: 388, Depth: 213 (82644)
up 1      | Horizontal: 388, Depth: 212 (82256)
down 6    | Horizontal: 388, Depth: 218 (84584)
forward 4 | Horizontal: 392, Depth: 218 (85456)
up 6      | Horizontal: 392, Depth: 212 (83104)
up 6      | Horizontal: 392, Depth: 206 (80752)
up 3      | Horizontal: 392, Depth: 203 (79576)
forward 4 | Horizontal: 396, Depth: 203 (80388)
forward 2 | Horizontal: 398, Depth: 203 (80794)
forward 5 | Horizontal: 403, Depth: 203 (81809)
forward 8 | Horizontal: 411, Depth: 203 (83433)
down 9    | Horizontal: 411, Depth: 212 (87132)
down 4    | Horizontal: 411, Depth: 216 (88776)
down 3    | Horizontal: 411, Depth: 219 (90009)
down 1    | Horizontal: 411, Depth: 220 (90420)
down 6    | Horizontal: 411, Depth: 226 (92886)
down 4    | Horizontal: 411, Depth: 230 (94530)
down 5    | Horizontal: 411, Depth: 235 (96585)
down 7    | Horizontal: 411, Depth: 242 (99462)
down 5    | Horizontal: 411, Depth: 247 (101517)
up 4      | Horizontal: 411, Depth: 243 (99873)
forward 3 | Horizontal: 414, Depth: 243 (100602)
down 4    | Horizontal: 414, Depth: 247 (102258)
down 7    | Horizontal: 414, Depth: 254 (105156)
down 7    | Horizontal: 414, Depth: 261 (108054)
down 2    | Horizontal: 414, Depth: 263 (108882)
forward 2 | Horizontal: 416, Depth: 263 (109408)
forward 9 | Horizontal: 425, Depth: 263 (111775)
up 6      | Horizontal: 425, Depth: 257 (109225)
down 3    | Horizontal: 425, Depth: 260 (110500)
up 9      | Horizontal: 425, Depth: 251 (106675)
forward 8 | Horizontal: 433, Depth: 251 (108683)
down 9    | Horizontal: 433, Depth: 260 (112580)
up 2      | Horizontal: 433, Depth: 258 (111714)
up 2      | Horizontal: 433, Depth: 256 (110848)
up 2      | Horizontal: 433, Depth: 254 (109982)
up 1      | Horizontal: 433, Depth: 253 (109549)
down 6    | Horizontal: 433, Depth: 259 (112147)
forward 9 | Horizontal: 442, Depth: 259 (114478)
forward 2 | Horizontal: 444, Depth: 259 (114996)
forward 2 | Horizontal: 446, Depth: 259 (115514)
forward 2 | Horizontal: 448, Depth: 259 (116032)
forward 5 | Horizontal: 453, Depth: 259 (117327)
up 3      | Horizontal: 453, Depth: 256 (115968)
down 7    | Horizontal: 453, Depth: 263 (119139)
down 6    | Horizontal: 453, Depth: 269 (121857)
down 8    | Horizontal: 453, Depth: 277 (125481)
up 3      | Horizontal: 453, Depth: 274 (124122)
up 9      | Horizontal: 453, Depth: 265 (120045)
down 3    | Horizontal: 453, Depth: 268 (121404)
forward 1 | Horizontal: 454, Depth: 268 (121672)
forward 7 | Horizontal: 461, Depth: 268 (123548)
down 7    | Horizontal: 461, Depth: 275 (126775)
down 1    | Horizontal: 461, Depth: 276 (127236)
forward 3 | Horizontal: 464, Depth: 276 (128064)
down 7    | Horizontal: 464, Depth: 283 (131312)
down 9    | Horizontal: 464, Depth: 292 (135488)
down 7    | Horizontal: 464, Depth: 299 (138736)
down 3    | Horizontal: 464, Depth: 302 (140128)
up 2      | Horizontal: 464, Depth: 300 (139200)
down 6    | Horizontal: 464, Depth: 306 (141984)
up 6      | Horizontal: 464, Depth: 300 (139200)
down 1    | Horizontal: 464, Depth: 301 (139664)
up 2      | Horizontal: 464, Depth: 299 (138736)
forward 7 | Horizontal: 471, Depth: 299 (140829)
up 2      | Horizontal: 471, Depth: 297 (139887)
down 7    | Horizontal: 471, Depth: 304 (143184)
up 2      | Horizontal: 471, Depth: 302 (142242)
down 9    | Horizontal: 471, Depth: 311 (146481)
down 3    | Horizontal: 471, Depth: 314 (147894)
forward 6 | Horizontal: 477, Depth: 314 (149778)
down 5    | Horizontal: 477, Depth: 319 (152163)
down 1    | Horizontal: 477, Depth: 320 (152640)
forward 5 | Horizontal: 482, Depth: 320 (154240)
down 2    | Horizontal: 482, Depth: 322 (155204)
down 6    | Horizontal: 482, Depth: 328 (158096)
down 1    | Horizontal: 482, Depth: 329 (158578)
down 3    | Horizontal: 482, Depth: 332 (160024)
down 3    | Horizontal: 482, Depth: 335 (161470)
down 5    | Horizontal: 482, Depth: 340 (163880)
forward 2 | Horizontal: 484, Depth: 340 (164560)
forward 4 | Horizontal: 488, Depth: 340 (165920)
forward 8 | Horizontal: 496, Depth: 340 (168640)
forward 6 | Horizontal: 502, Depth: 340 (170680)
forward 4 | Horizontal: 506, Depth: 340 (172040)
forward 9 | Horizontal: 515, Depth: 340 (175100)
up 8      | Horizontal: 515, Depth: 332 (170980)
down 5    | Horizontal: 515, Depth: 337 (173555)
forward 1 | Horizontal: 516, Depth: 337 (173892)
down 1    | Horizontal: 516, Depth: 338 (174408)
forward 1 | Horizontal: 517, Depth: 338 (174746)
forward 6 | Horizontal: 523, Depth: 338 (176774)
up 1      | Horizontal: 523, Depth: 337 (176251)
down 6    | Horizontal: 523, Depth: 343 (179389)
down 3    | Horizontal: 523, Depth: 346 (180958)
forward 9 | Horizontal: 532, Depth: 346 (184072)
forward 5 | Horizontal: 537, Depth: 346 (185802)
forward 4 | Horizontal: 541, Depth: 346 (187186)
up 3      | Horizontal: 541, Depth: 343 (185563)
up 7      | Horizontal: 541, Depth: 336 (181776)
down 2    | Horizontal: 541, Depth: 338 (182858)
up 4      | Horizontal: 541, Depth: 334 (180694)
up 2      | Horizontal: 541, Depth: 332 (179612)
down 1    | Horizontal: 541, Depth: 333 (180153)
forward 6 | Horizontal: 547, Depth: 333 (182151)
forward 9 | Horizontal: 556, Depth: 333 (185148)
forward 4 | Horizontal: 560, Depth: 333 (186480)
forward 2 | Horizontal: 562, Depth: 333 (187146)
down 8    | Horizontal: 562, Depth: 341 (191642)
forward 4 | Horizontal: 566, Depth: 341 (193006)
forward 3 | Horizontal: 569, Depth: 341 (194029)
up 5      | Horizontal: 569, Depth: 336 (191184)
down 4    | Horizontal: 569, Depth: 340 (193460)
forward 3 | Horizontal: 572, Depth: 340 (194480)
down 8    | Horizontal: 572, Depth: 348 (199056)
down 5    | Horizontal: 572, Depth: 353 (201916)
down 5    | Horizontal: 572, Depth: 358 (204776)
forward 1 | Horizontal: 573, Depth: 358 (205134)
forward 6 | Horizontal: 579, Depth: 358 (207282)
forward 4 | Horizontal: 583, Depth: 358 (208714)
forward 5 | Horizontal: 588, Depth: 358 (210504)
forward 9 | Horizontal: 597, Depth: 358 (213726)
forward 5 | Horizontal: 602, Depth: 358 (215516)
down 4    | Horizontal: 602, Depth: 362 (217924)
forward 3 | Horizontal: 605, Depth: 362 (219010)
forward 8 | Horizontal: 613, Depth: 362 (221906)
down 8    | Horizontal: 613, Depth: 370 (226810)
down 1    | Horizontal: 613, Depth: 371 (227423)
up 4      | Horizontal: 613, Depth: 367 (224971)
down 4    | Horizontal: 613, Depth: 371 (227423)
up 7      | Horizontal: 613, Depth: 364 (223132)
forward 2 | Horizontal: 615, Depth: 364 (223860)
forward 6 | Horizontal: 621, Depth: 364 (226044)
down 3    | Horizontal: 621, Depth: 367 (227907)
down 5    | Horizontal: 621, Depth: 372 (231012)
down 5    | Horizontal: 621, Depth: 377 (234117)
down 8    | Horizontal: 621, Depth: 385 (239085)
up 3      | Horizontal: 621, Depth: 382 (237222)
down 2    | Horizontal: 621, Depth: 384 (238464)
forward 4 | Horizontal: 625, Depth: 384 (240000)
forward 2 | Horizontal: 627, Depth: 384 (240768)
forward 4 | Horizontal: 631, Depth: 384 (242304)
forward 9 | Horizontal: 640, Depth: 384 (245760)
up 2      | Horizontal: 640, Depth: 382 (244480)
down 7    | Horizontal: 640, Depth: 389 (248960)
up 7      | Horizontal: 640, Depth: 382 (244480)
down 2    | Horizontal: 640, Depth: 384 (245760)
forward 4 | Horizontal: 644, Depth: 384 (247296)
up 7      | Horizontal: 644, Depth: 377 (242788)
forward 4 | Horizontal: 648, Depth: 377 (244296)
down 2    | Horizontal: 648, Depth: 379 (245592)
forward 7 | Horizontal: 655, Depth: 379 (248245)
up 2      | Horizontal: 655, Depth: 377 (246935)
down 3    | Horizontal: 655, Depth: 380 (248900)
forward 5 | Horizontal: 660, Depth: 380 (250800)
down 7    | Horizontal: 660, Depth: 387 (255420)
down 2    | Horizontal: 660, Depth: 389 (256740)
up 2      | Horizontal: 660, Depth: 387 (255420)
up 1      | Horizontal: 660, Depth: 386 (254760)
up 7      | Horizontal: 660, Depth: 379 (250140)
up 9      | Horizontal: 660, Depth: 370 (244200)
down 3    | Horizontal: 660, Depth: 373 (246180)
forward 1 | Horizontal: 661, Depth: 373 (246553)
forward 3 | Horizontal: 664, Depth: 373 (247672)
down 2    | Horizontal: 664, Depth: 375 (249000)
down 3    | Horizontal: 664, Depth: 378 (250992)
forward 6 | Horizontal: 670, Depth: 378 (253260)
down 7    | Horizontal: 670, Depth: 385 (257950)
forward 9 | Horizontal: 679, Depth: 385 (261415)
down 9    | Horizontal: 679, Depth: 394 (267526)
forward 3 | Horizontal: 682, Depth: 394 (268708)
forward 2 | Horizontal: 684, Depth: 394 (269496)
down 1    | Horizontal: 684, Depth: 395 (270180)
up 9      | Horizontal: 684, Depth: 386 (264024)
down 4    | Horizontal: 684, Depth: 390 (266760)
forward 4 | Horizontal: 688, Depth: 390 (268320)
up 4      | Horizontal: 688, Depth: 386 (265568)
forward 7 | Horizontal: 695, Depth: 386 (268270)
up 3      | Horizontal: 695, Depth: 383 (266185)
down 4    | Horizontal: 695, Depth: 387 (268965)
down 9    | Horizontal: 695, Depth: 396 (275220)
down 3    | Horizontal: 695, Depth: 399 (277305)
forward 7 | Horizontal: 702, Depth: 399 (280098)
down 6    | Horizontal: 702, Depth: 405 (284310)
down 7    | Horizontal: 702, Depth: 412 (289224)
down 6    | Horizontal: 702, Depth: 418 (293436)
up 5      | Horizontal: 702, Depth: 413 (289926)
forward 3 | Horizontal: 705, Depth: 413 (291165)
forward 9 | Horizontal: 714, Depth: 413 (294882)
up 2      | Horizontal: 714, Depth: 411 (293454)
up 4      | Horizontal: 714, Depth: 407 (290598)
up 9      | Horizontal: 714, Depth: 398 (284172)
down 2    | Horizontal: 714, Depth: 400 (285600)
forward 5 | Horizontal: 719, Depth: 400 (287600)
up 1      | Horizontal: 719, Depth: 399 (286881)
down 7    | Horizontal: 719, Depth: 406 (291914)
down 5    | Horizontal: 719, Depth: 411 (295509)
up 2      | Horizontal: 719, Depth: 409 (294071)
forward 8 | Horizontal: 727, Depth: 409 (297343)
down 8    | Horizontal: 727, Depth: 417 (303159)
up 3      | Horizontal: 727, Depth: 414 (300978)
forward 4 | Horizontal: 731, Depth: 414 (302634)
down 9    | Horizontal: 731, Depth: 423 (309213)
forward 6 | Horizontal: 737, Depth: 423 (311751)
down 9    | Horizontal: 737, Depth: 432 (318384)
down 5    | Horizontal: 737, Depth: 437 (322069)
forward 6 | Horizontal: 743, Depth: 437 (324691)
down 8    | Horizontal: 743, Depth: 445 (330635)
up 6      | Horizontal: 743, Depth: 439 (326177)
down 3    | Horizontal: 743, Depth: 442 (328406)
forward 6 | Horizontal: 749, Depth: 442 (331058)
forward 3 | Horizontal: 752, Depth: 442 (332384)
down 3    | Horizontal: 752, Depth: 445 (334640)
down 5    | Horizontal: 752, Depth: 450 (338400)
down 7    | Horizontal: 752, Depth: 457 (343664)
down 1    | Horizontal: 752, Depth: 458 (344416)
down 5    | Horizontal: 752, Depth: 463 (348176)
down 7    | Horizontal: 752, Depth: 470 (353440)
down 5    | Horizontal: 752, Depth: 475 (357200)
forward 3 | Horizontal: 755, Depth: 475 (358625)
down 2    | Horizontal: 755, Depth: 477 (360135)
forward 4 | Horizontal: 759, Depth: 477 (362043)
up 4      | Horizontal: 759, Depth: 473 (359007)
up 1      | Horizontal: 759, Depth: 472 (358248)
up 7      | Horizontal: 759, Depth: 465 (352935)
forward 1 | Horizontal: 760, Depth: 465 (353400)
forward 5 | Horizontal: 765, Depth: 465 (355725)
down 4    | Horizontal: 765, Depth: 469 (358785)
down 8    | Horizontal: 765, Depth: 477 (364905)
down 3    | Horizontal: 765, Depth: 480 (367200)
forward 4 | Horizontal: 769, Depth: 480 (369120)
down 3    | Horizontal: 769, Depth: 483 (371427)
up 7      | Horizontal: 769, Depth: 476 (366044)
down 6    | Horizontal: 769, Depth: 482 (370658)
forward 9 | Horizontal: 778, Depth: 482 (374996)
up 8      | Horizontal: 778, Depth: 474 (368772)
forward 2 | Horizontal: 780, Depth: 474 (369720)
forward 5 | Horizontal: 785, Depth: 474 (372090)
down 6    | Horizontal: 785, Depth: 480 (376800)
up 4      | Horizontal: 785, Depth: 476 (373660)
forward 8 | Horizontal: 793, Depth: 476 (377468)
forward 5 | Horizontal: 798, Depth: 476 (379848)
down 6    | Horizontal: 798, Depth: 482 (384636)
forward 2 | Horizontal: 800, Depth: 482 (385600)
down 7    | Horizontal: 800, Depth: 489 (391200)
forward 3 | Horizontal: 803, Depth: 489 (392667)
forward 1 | Horizontal: 804, Depth: 489 (393156)
forward 6 | Horizontal: 810, Depth: 489 (396090)
down 9    | Horizontal: 810, Depth: 498 (403380)
up 6      | Horizontal: 810, Depth: 492 (398520)
down 4    | Horizontal: 810, Depth: 496 (401760)
down 2    | Horizontal: 810, Depth: 498 (403380)
up 8      | Horizontal: 810, Depth: 490 (396900)
forward 4 | Horizontal: 814, Depth: 490 (398860)
down 8    | Horizontal: 814, Depth: 498 (405372)
forward 8 | Horizontal: 822, Depth: 498 (409356)
up 9      | Horizontal: 822, Depth: 489 (401958)
forward 7 | Horizontal: 829, Depth: 489 (405381)
down 6    | Horizontal: 829, Depth: 495 (410355)
up 9      | Horizontal: 829, Depth: 486 (402894)
down 4    | Horizontal: 829, Depth: 490 (406210)
up 6      | Horizontal: 829, Depth: 484 (401236)
down 4    | Horizontal: 829, Depth: 488 (404552)
down 3    | Horizontal: 829, Depth: 491 (407039)
up 7      | Horizontal: 829, Depth: 484 (401236)
up 4      | Horizontal: 829, Depth: 480 (397920)
forward 5 | Horizontal: 834, Depth: 480 (400320)
up 9      | Horizontal: 834, Depth: 471 (392814)
down 9    | Horizontal: 834, Depth: 480 (400320)
up 6      | Horizontal: 834, Depth: 474 (395316)
down 3    | Horizontal: 834, Depth: 477 (397818)
forward 8 | Horizontal: 842, Depth: 477 (401634)
down 9    | Horizontal: 842, Depth: 486 (409212)
forward 7 | Horizontal: 849, Depth: 486 (412614)
up 3      | Horizontal: 849, Depth: 483 (410067)
up 9      | Horizontal: 849, Depth: 474 (402426)
forward 8 | Horizontal: 857, Depth: 474 (406218)
down 3    | Horizontal: 857, Depth: 477 (408789)
forward 3 | Horizontal: 860, Depth: 477 (410220)
forward 5 | Horizontal: 865, Depth: 477 (412605)
down 6    | Horizontal: 865, Depth: 483 (417795)
forward 3 | Horizontal: 868, Depth: 483 (419244)
down 4    | Horizontal: 868, Depth: 487 (422716)
up 6      | Horizontal: 868, Depth: 481 (417508)
forward 3 | Horizontal: 871, Depth: 481 (418951)
forward 7 | Horizontal: 878, Depth: 481 (422318)
down 1    | Horizontal: 878, Depth: 482 (423196)
down 6    | Horizontal: 878, Depth: 488 (428464)
down 4    | Horizontal: 878, Depth: 492 (431976)
forward 6 | Horizontal: 884, Depth: 492 (434928)
up 6      | Horizontal: 884, Depth: 486 (429624)
down 5    | Horizontal: 884, Depth: 491 (434044)
down 6    | Horizontal: 884, Depth: 497 (439348)
down 4    | Horizontal: 884, Depth: 501 (442884)
up 2      | Horizontal: 884, Depth: 499 (441116)
down 7    | Horizontal: 884, Depth: 506 (447304)
down 9    | Horizontal: 884, Depth: 515 (455260)
down 2    | Horizontal: 884, Depth: 517 (457028)
down 6    | Horizontal: 884, Depth: 523 (462332)
forward 3 | Horizontal: 887, Depth: 523 (463901)
forward 4 | Horizontal: 891, Depth: 523 (465993)
down 5    | Horizontal: 891, Depth: 528 (470448)
up 5      | Horizontal: 891, Depth: 523 (465993)
down 5    | Horizontal: 891, Depth: 528 (470448)
forward 3 | Horizontal: 894, Depth: 528 (472032)
forward 6 | Horizontal: 900, Depth: 528 (475200)
down 4    | Horizontal: 900, Depth: 532 (478800)
down 7    | Horizontal: 900, Depth: 539 (485100)
up 2      | Horizontal: 900, Depth: 537 (483300)
forward 7 | Horizontal: 907, Depth: 537 (487059)
down 7    | Horizontal: 907, Depth: 544 (493408)
up 6      | Horizontal: 907, Depth: 538 (487966)
up 3      | Horizontal: 907, Depth: 535 (485245)
forward 9 | Horizontal: 916, Depth: 535 (490060)
forward 8 | Horizontal: 924, Depth: 535 (494340)
up 6      | Horizontal: 924, Depth: 529 (488796)
forward 2 | Horizontal: 926, Depth: 529 (489854)
down 2    | Horizontal: 926, Depth: 531 (491706)
forward 8 | Horizontal: 934, Depth: 531 (495954)
forward 4 | Horizontal: 938, Depth: 531 (498078)
up 6      | Horizontal: 938, Depth: 525 (492450)
forward 6 | Horizontal: 944, Depth: 525 (495600)
down 8    | Horizontal: 944, Depth: 533 (503152)
up 3      | Horizontal: 944, Depth: 530 (500320)
up 5      | Horizontal: 944, Depth: 525 (495600)
forward 6 | Horizontal: 950, Depth: 525 (498750)
up 8      | Horizontal: 950, Depth: 517 (491150)
down 1    | Horizontal: 950, Depth: 518 (492100)
down 4    | Horizontal: 950, Depth: 522 (495900)
up 9      | Horizontal: 950, Depth: 513 (487350)
forward 6 | Horizontal: 956, Depth: 513 (490428)
up 5      | Horizontal: 956, Depth: 508 (485648)
down 6    | Horizontal: 956, Depth: 514 (491384)
down 8    | Horizontal: 956, Depth: 522 (499032)
down 9    | Horizontal: 956, Depth: 531 (507636)
forward 5 | Horizontal: 961, Depth: 531 (510291)
up 3      | Horizontal: 961, Depth: 528 (507408)
down 7    | Horizontal: 961, Depth: 535 (514135)
forward 3 | Horizontal: 964, Depth: 535 (515740)
forward 6 | Horizontal: 970, Depth: 535 (518950)
down 3    | Horizontal: 970, Depth: 538 (521860)
down 1    | Horizontal: 970, Depth: 539 (522830)
down 9    | Horizontal: 970, Depth: 548 (531560)
up 9      | Horizontal: 970, Depth: 539 (522830)
down 4    | Horizontal: 970, Depth: 543 (526710)
down 7    | Horizontal: 970, Depth: 550 (533500)
forward 2 | Horizontal: 972, Depth: 550 (534600)
forward 4 | Horizontal: 976, Depth: 550 (536800)
down 7    | Horizontal: 976, Depth: 557 (543632)
forward 7 | Horizontal: 983, Depth: 557 (547531)
up 5      | Horizontal: 983, Depth: 552 (542616)
down 9    | Horizontal: 983, Depth: 561 (551463)
up 7      | Horizontal: 983, Depth: 554 (544582)
down 4    | Horizontal: 983, Depth: 558 (548514)
forward 6 | Horizontal: 989, Depth: 558 (551862)
down 5    | Horizontal: 989, Depth: 563 (556807)
forward 4 | Horizontal: 993, Depth: 563 (559059)
up 8      | Horizontal: 993, Depth: 555 (551115)
down 4    | Horizontal: 993, Depth: 559 (555087)
down 7    | Horizontal: 993, Depth: 566 (562038)
