forward 2 | Horizontal: 2, Depth: 0, Aim: 0 (0)
down 9    | Horizontal: 433, Depth: 57659, Aim: 260 (24966347)
up 2      | Horizontal: 433, Depth: 57659, Aim: 258 (24966347)
up 2      | Horizontal: 433, Depth: 57659, Aim: 256 (24966347)
up 2      | Horizontal: 433, Depth: 57659, Aim: 254 (24966347)
up 1      | Horizontal: 433, Depth: 57659, Aim: 253 (24966347)
down 6    | Horizontal: 433, Depth: 57659, Aim: 259 (24966347)
forward 9 | Horizontal: 442, Depth: 59990, Aim: 259 (26515580)
forward 2 | Horizontal: 444, Depth: 60508, Aim: 259 (26865552)
forward 2 | Horizontal: 446, Depth: 61026, Aim: 259 (27217596)
forward 2 | Horizontal: 448, Depth: 61544, Aim: 259 (27571712)
forward 5 | Horizontal: 453, Depth: 62839, Aim: 259 (28466067)
up 3      | Horizontal: 453, Depth: 62839, Aim: 256 (28466067)
down 7    | Horizontal: 453, Depth: 62839, Aim: 263 (28466067)
down 6    | Horizontal: 453, Depth: 62839, Aim: 269 (28466067)
down 8    | Horizontal: 453, Depth: 62839, Aim: 277 (28466067)
up 3      | Horizontal: 453, Depth: 62839, Aim: 274 (28466067)
up 9      | Horizontal: 453, Depth: 62839, Aim: 265 (28466067)
down 3    | Horizontal: 453, Depth: 62839, Aim: 268 (28466067)
forward 1 | Horizontal: 454, Depth: 63107, Aim: 268 (28650578)
forward 7 | Horizontal: 461, Depth: 64983, Aim: 268 (29957163)
down 7    | Horizontal: 461, Depth: 64983, Aim: 275 (29957163)
down 1    | Horizontal: 461, Depth: 64983, Aim: 276 (29957163)
forward 3 | Horizontal: 464, Depth: 65811, Aim: 276 (30536304)
down 7    | Horizontal: 464, Depth: 65811, Aim: 283 (30536304)
down 9    | Horizontal: 464, Depth: 65811, Aim: 292 (30536304)
down 7    | Horizontal: 464, Depth: 65811, Aim: 299 (30536304)
down 3    | Horizontal: 464, Depth: 65811, Aim: 302 (30536304)
up 2      | Horizontal: 464, Depth: 65811, Aim: 300 (30536304)
down 6    | Horizontal: 464, Depth: 65811, Aim: 306 (30536304)
up 6      | Horizontal: 464, Depth: 65811, Aim: 300 (30536304)
down 1    | Horizontal: 464, Depth: 65811, Aim: 301 (30536304)
up 2      | Horizontal: 464, Depth: 65811, Aim: 299 (30536304)
forward 7 | Horizontal: 471, Depth: 67904, Aim: 299 (31982784)
up 2      | Horizontal: 471, Depth: 67904, Aim: 297 (31982784)
down 7    | Horizontal: 471, Depth: 67904, Aim: 304 (31982784)
up 2      | Horizontal: 471, Depth: 67904, Aim: 302 (31982784)
down 9    | Horizontal: 471, Depth: 67904, Aim: 311 (31982784)
down 3    | Horizontal: 471, Depth: 67904, Aim: 314 (31982784)
forward 6 | Horizontal: 477, Depth: 69788, Aim: 314 (33288876)
down 5    | Horizontal: 477, Depth: 69788, Aim: 319 (33288876)
down 1    | Horizontal: 477, Depth: 69788, Aim: 320 (33288876)
forward 5 | Horizontal: 482, Depth: 71388, Aim: 320 (34409016)
down 2    | Horizontal: 482, Depth: 71388, Aim: 322 (34409016)
down 6    | Horizontal: 482, Depth: 71388, Aim: 328 (34409016)
down 1    | Horizontal: 482, Depth: 71388, Aim: 329 (34409016)
down 3    | Horizontal: 482, Depth: 71388, Aim: 332 (34409016)
down 3    | Horizontal: 482, Depth: 71388, Aim: 335 (34409016)
down 5    | Horizontal: 482, Depth: 71388, Aim: 340 (34409016)
forward 2 | Horizontal: 484, Depth: 72068, Aim: 340 (34880912)
forward 4 | Horizontal: 488, Depth: 73428, Aim: 340 (35832864)
forward 8 | Horizontal: 496, Depth: 76148, Aim: 340 (37769408)
forward 6 | Horizontal: 502, Depth: 78188, Aim: 340 (39250376)
forward 4 | Horizontal: 506, Depth: 79548, Aim: 340 (40251288)
forward 9 | Horizontal: 515, Depth: 82608, Aim: 340 (42543120)
up 8      | Horizontal: 515, Depth: 82608, Aim: 332 (42543120)
down 5    | Horizontal: 515, Depth: 82608, Aim: 337 (42543120)
forward 1 | Horizontal: 516, Depth: 82945, Aim: 337 (42799620)
down 1    | Horizontal: 516, Depth: 82945, Aim: 338 (42799620)
forward 1 | Horizontal: 517, Depth: 83283, Aim: 338 (43057311)
forward 6 | Horizontal: 523, Depth: 85311, Aim: 338 (44617653)
up 1      | Horizontal: 523, Depth: 85311, Aim: 337 (44617653)
down 6    | Horizontal: 523, Depth: 85311, Aim: 343 (44617653)
down 3    | Horizontal: 523, Depth: 85311, Aim: 346 (44617653)
forward 9 | Horizontal: 532, Depth: 88425, Aim: 346 (47042100)
forward 5 | Horizontal: 537, Depth: 90155, Aim: 346 (48413235)
forward 4 | Horizontal: 541, Depth: 91539, Aim: 346 (49522599)
up 3      | Horizontal: 541, Depth: 91539, Aim: 343 (49522599)
up 7      | Horizontal: 541, Depth: 91539, Aim: 336 (49522599)
down 2    | Horizontal: 541, Depth: 91539, Aim: 338 (49522599)
up 4      | Horizontal: 541, Depth: 91539, Aim: 334 (49522599)
up 2      | Horizontal: 541, Depth: 91539, Aim: 332 (49522599)
down 1    | Horizontal: 541, Depth: 91539, Aim: 333 (49522599)
forward 6 | Horizontal: 547, Depth: 93537, Aim: 333 (51164739)
forward 9 | Horizontal: 556, Depth: 96534, Aim: 333 (53672904)
forward 4 | Horizontal: 560, Depth: 97866, Aim: 333 (54804960)
forward 2 | Horizontal: 562, Depth: 98532, Aim: 333 (55374984)
down 8    | Horizontal: 562, Depth: 98532, Aim: 341 (55374984)
forward 4 | Horizontal: 566, Depth: 99896, Aim: 341 (56541136)
forward 3 | Horizontal: 569, Depth: 100919, Aim: 341 (57422911)
up 5      | Horizontal: 569, Depth: 100919, Aim: 336 (57422911)
down 4    | Horizontal: 569, Depth: 100919, Aim: 340 (57422911)
forward 3 | Horizontal: 572, Depth: 101939, Aim: 340 (58309108)
down 8    | Horizontal: 572, Depth: 101939, Aim: 348 (58309108)
down 5    | Horizontal: 572, Depth: 101939, Aim: 353 (58309108)
down 5    | Horizontal: 572, Depth: 101939, Aim: 358 (58309108)
forward 1 | Horizontal: 573, Depth: 102297, Aim: 358 (58616181)
forward 6 | Horizontal: 579, Depth: 104445, Aim: 358 (60473655)
forward 4 | Horizontal: 583, Depth: 105877, Aim: 358 (61726291)
forward 5 | Horizontal: 588, Depth: 107667, Aim: 358 (63308196)
forward 9 | Horizontal: 597, Depth: 110889, Aim: 358 (66200733)
forward 5 | Horizontal: 602, Depth: 112679, Aim: 358 (67832758)
down 4    | Horizontal: 602, Depth: 112679, Aim: 362 (67832758)
forward 3 | Horizontal: 605, Depth: 113765, Aim: 362 (68827825)
forward 8 | Horizontal: 613, Depth: 116661, Aim: 362 (71513193)
down 8    | Horizontal: 613, Depth: 116661, Aim: 370 (71513193)
down 1    | Horizontal: 613, Depth: 116661, Aim: 371 (71513193)
up 4      | Horizontal: 613, Depth: 116661, Aim: 367 (71513193)
down 4    | Horizontal: 613, Depth: 116661, Aim: 371 (71513193)
up 7      | Horizontal: 613, Depth: 116661, Aim: 364 (71513193)
forward 2 | Horizontal: 615, Depth: 117389, Aim: 364 (72194235)
forward 6 | Horizontal: 621, Depth: 119573, Aim: 364 (74254833)
down 3    | Horizontal: 621, Depth: 119573, Aim: 367 (74254833)
down 5    | Horizontal: 621, Depth: 119573, Aim: 372 (74254833)
down 5    | Horizontal: 621, Depth: 119573, Aim: 377 (74254833)
down 8    | Horizontal: 621, Depth: 119573, Aim: 385 (74254833)
up 3      | Horizontal: 621, Depth: 119573, Aim: 382 (74254833)
down 2    | Horizontal: 621, Depth: 119573, Aim: 384 (74254833)
forward 4 | Horizontal: 625, Depth: 121109, Aim: 384 (75693125)
forward 2 | Horizontal: 627, Depth: 121877, Aim: 384 (76416879)
forward 4 | Horizontal: 631, Depth: 123413, Aim: 384 (77873603)
forward 9 | Horizontal: 640, Depth: 126869, Aim: 384 (81196160)
up 2      | Horizontal: 640, Depth: 126869, Aim: 382 (81196160)
down 7    | Horizontal: 640, Depth: 126869, Aim: 389 (81196160)
up 7      | Horizontal: 640, Depth: 126869, Aim: 382 (81196160)
down 2    | Horizontal: 640, Depth: 126869, Aim: 384 (81196160)
forward 4 | Horizontal: 644, Depth: 128405, Aim: 384 (82692820)
up 7      | Horizontal: 644, Depth: 128405, Aim: 377 (82692820)
forward 4 | Horizontal: 648, Depth: 129913, Aim: 377 (84183624)
down 2    | Horizontal: 648, Depth: 129913, Aim: 379 (84183624)
forward 7 | Horizontal: 655, Depth: 132566, Aim: 379 (86830730)
up 2      | Horizontal: 655, Depth: 132566, Aim: 377 (86830730)
down 3    | Horizontal: 655, Depth: 132566, Aim: 380 (86830730)
forward 5 | Horizontal: 660, Depth: 134466, Aim: 380 (88747560)
down 7    | Horizontal: 660, Depth: 134466, Aim: 387 (88747560)
down 2    | Horizontal: 660, Depth: 134466, Aim: 389 (88747560)
up 2      | Horizontal: 660, Depth: 134466, Aim: 387 (88747560)
up 1      | Horizontal: 660, Depth: 134466, Aim: 386 (88747560)
up 7      | Horizontal: 660, Depth: 134466, Aim: 379 (88747560)
up 9      | Horizontal: 660, Depth: 134466, Aim: 370 (88747560)
down 3    | Horizontal: 660, Depth: 134466, Aim: 373 (88747560)
forward 1 | Horizontal: 661, Depth: 134839, Aim: 373 (89128579)
forward 3 | Horizontal: 664, Depth: 135958, Aim: 373 (90276112)
down 2    | Horizontal: 664, Depth: 135958, Aim: 375 (90276112)
down 3    | Horizontal: 664, Depth: 135958, Aim: 378 (90276112)
forward 6 | Horizontal: 670, Depth: 138226, Aim: 378 (92611420)
down 7    | Horizontal: 670, Depth: 138226, Aim: 385 (92611420)
forward 9 | Horizontal: 679, Depth: 141691, Aim: 385 (96208189)
down 9    | Horizontal: 679, Depth: 141691, Aim: 394 (96208189)
forward 3 | Horizontal: 682, Depth: 142873, Aim: 394 (97439386)
forward 2 | Horizontal: 684, Depth: 143661, Aim: 394 (98264124)
down 1    | Horizontal: 684, Depth: 143661, Aim: 395 (98264124)
up 9      | Horizontal: 684, Depth: 143661, Aim: 386 (98264124)
down 4    | Horizontal: 684, Depth: 143661, Aim: 390 (98264124)
forward 4 | Horizontal: 688, Depth: 145221, Aim: 390 (99912048)
up 4      | Horizontal: 688, Depth: 145221, Aim: 386 (99912048)
forward 7 | Horizontal: 695, Depth: 147923, Aim: 386 (102806485)
up 3      | Horizontal: 695, Depth: 147923, Aim: 383 (102806485)
down 4    | Horizontal: 695, Depth: 147923, Aim: 387 (102806485)
down 9    | Horizontal: 695, Depth: 147923, Aim: 396 (102806485)
down 3    | Horizontal: 695, Depth: 147923, Aim: 399 (102806485)
forward 7 | Horizontal: 702, Depth: 150716, Aim: 399 (105802632)
down 6    | Horizontal: 702, Depth: 150716, Aim: 405 (105802632)
down 7    | Horizontal: 702, Depth: 150716, Aim: 412 (105802632)
down 6    | Horizontal: 702, Depth: 150716, Aim: 418 (105802632)
up 5      | Horizontal: 702, Depth: 150716, Aim: 413 (105802632)
forward 3 | Horizontal: 705, Depth: 151955, Aim: 413 (107128275)
forward 9 | Horizontal: 714, Depth: 155672, Aim: 413 (111149808)
up 2      | Horizontal: 714, Depth: 155672, Aim: 411 (111149808)
up 4      | Horizontal: 714, Depth: 155672, Aim: 407 (111149808)
up 9      | Horizontal: 714, Depth: 155672, Aim: 398 (111149808)
down 2    | Horizontal: 714, Depth: 155672, Aim: 400 (111149808)
forward 5 | Horizontal: 719, Depth: 157672, Aim: 400 (113366168)
up 1      | Horizontal: 719, Depth: 157672, Aim: 399 (113366168)
down 7    | Horizontal: 719, Depth: 157672, Aim: 406 (113366168)
down 5    | Horizontal: 719, Depth: 157672, Aim: 411 (113366168)
up 2      | Horizontal: 719, Depth: 157672, Aim: 409 (113366168)
forward 8 | Horizontal: 727, Depth: 160944, Aim: 409 (117006288)
down 8    | Horizontal: 727, Depth: 160944, Aim: 417 (117006288)
up 3      | Horizontal: 727, Depth: 160944, Aim: 414 (117006288)
forward 4 | Horizontal: 731, Depth: 162600, Aim: 414 (118860600)
down 9    | Horizontal: 731, Depth: 162600, Aim: 423 (118860600)
forward 6 | Horizontal: 737, Depth: 165138, Aim: 423 (121706706)
down 9    | Horizontal: 737, Depth: 165138, Aim: 432 (121706706)
down 5    | Horizontal: 737, Depth: 165138, Aim: 437 (121706706)
forward 6 | Horizontal: 743, Depth: 167760, Aim: 437 (124645680)
down 8    | Horizontal: 743, Depth: 167760, Aim: 445 (124645680)
up 6      | Horizontal: 743, Depth: 167760, Aim: 439 (124645680)
down 3    | Horizontal: 743, Depth: 167760, Aim: 442 (124645680)
forward 6 | Horizontal: 749, Depth: 170412, Aim: 442 (127638588)
forward 3 | Horizontal: 752, Depth: 171738, Aim: 442 (129146976)
down 3    | Horizontal: 752, Depth: 171738, Aim: 445 (129146976)
down 5    | Horizontal: 752, Depth: 171738, Aim: 450 (129146976)
down 7    | Horizontal: 752, Depth: 171738, Aim: 457 (129146976)
down 1    | Horizontal: 752, Depth: 171738, Aim: 458 (129146976)
down 5    | Horizontal: 752, Depth: 171738, Aim: 463 (129146976)
down 7    | Horizontal: 752, Depth: 171738, Aim: 470 (129146976)
down 5    | Horizontal: 752, Depth: 171738, Aim: 475 (129146976)
forward 3 | Horizontal: 755, Depth: 173163, Aim: 475 (130738065)
down 2    | Horizontal: 755, Depth: 173163, Aim: 477 (130738065)
forward 4 | Horizontal: 759, Depth: 175071, Aim: 477 (132878889)
up 4      | Horizontal: 759, Depth: 175071, Aim: 473 (132878889)
up 1      | Horizontal: 759, Depth: 175071, Aim: 472 (132878889)
up 7      | Horizontal: 759, Depth: 175071, Aim: 465 (132878889)
forward 1 | Horizontal: 760, Depth: 175536, Aim: 465 (133407360)
